# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure5_permute_kim with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	fold_1	fold_2	fold_3	fold_4	fold_5	
PARS	MixPoiLin	2	learn_domain_forest.R	50	0.71896354283703	0.717983481262328	0.732305510119992	0.717649267076137	0.714304169759929	0.720425822783718	
PARS	MixPoiLin	2	learn_domain_forest.R	60	0.722694729597426	0.664281189699579	0.73547884789671	0.727051806538764	0.727626184236381	0.760373702422146	
PARS	MixPoiLin	2	learn_domain_forest.R	70	0.734313710953039	0.74243789252278	0.732231287920668	0.731359951606991	0.737023913065112	0.731301180818971	
PARS	MixPoiLin	2	learn_domain_forest.R	80	0.73155483473086	0.757597100795164	0.744659949742796	0.729333631734318	0.685530789626368	0.750908100904464	
PARS	MixPoiLin	2	learn_domain_forest.R	90	0.737048992815705	0.763399743604685	0.763316981732822	0.762308317250882	0.68215833582671	0.715513248168271	
PARS	MixPoiLin	2	learn_domain_forest.R	100	0.728707353144583	0.759260204081632	0.67962154037517	0.730938988627579	0.740927813658921	0.737880365075288	
PARS	MixPoiLin	2	learn_domain_forest.R	110	0.706566688974817	0.672643261257336	0.745668928954952	0.757775093375163	0.652606622795437	0.768486627119525	
PARS	MixPoiLin	2	learn_domain_forest.R	120	0.702176488729915	0.705222963453152	0.704997465564738	0.720413326308495	0.693170880826454	0.705811311905495	
PARS	MixPoiLin	2	learn_domain_forest.R	130	0.692257419194804	0.741864717581852	0.664224959008488	0.701440522809337	0.652032044983979	0.687023282405032	
PARS	MixPoiLin	2	learn_domain_forest.R	140	0.687316800056984	0.647151380198242	0.742720600169519	0.689860496276637	0.717862007491537	0.666550559568578	
PARS	MixPoiLin	2	learn_domain_forest.R	150	0.679943741909788	0.692311031742119	0.66266540750843	0.664531045427494	0.689989594172737	0.702787967896274	
PARS	MixPoiLin	2	learn_domain_forest.R	160	0.674082219074049	0.651877850485822	0.733769373807857	0.678999944947425	0.632819145793951	0.711177331105627	
PARS	MixPoiLin	2	learn_domain_forest.R	170	0.672444924872987	0.6797822265625	0.669151828906713	0.696970872899927	0.6850024	0.65937111761757	
PARS	MixPoiLin	2	learn_domain_forest.R	180	0.666652538818124	0.691309374859034	0.675052993227041	0.688798659169551	0.664452948166592	0.649751397242969	
